thomas_num,thomas_name,id,icpsr,congress,year,st_name,cd,Democrat?,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,LES,LES Rank In Party,Total in Party,Benchmark,Expectations?
1,"Abdnor, James",934102,14000,93,1973-74,SD,2,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0.109570265,132,196,0.271341175,Below Expectations
2,"Abzug, Bella",933220,13001,93,1973-74,NY,20,1,0,0,0,0,0,128,0,0,0,0,8,1,1,1,1,0.762431085,116,244,0.510812402,Meets Expectations
3,"Adams, Brock",934707,10700,93,1973-74,WA,7,1,2,1,1,1,0,33,1,1,1,1,2,0,0,0,0,1.236478448,86,244,1.530341387,Meets Expectations
4,"Addabbo, Joseph",933207,10500,93,1973-74,NY,7,1,0,0,0,0,0,28,0,0,0,0,10,0,0,0,0,0.15505226,193,244,1.584492803,Below Expectations
5,"Albert, Carl",933603,.,93,1973-74,OK,3,.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.001033682,.,.,0.623325288,Below Expectations
6,"Alexander, Bill",930401,12000,93,1973-74,AR,1,1,2,2,2,1,1,51,1,1,1,0,0,0,0,0,0,1.875050545,64,244,1.476189971,Meets Expectations
7,"Anderson, John",931316,10501,93,1973-74,IL,16,0,1,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0.289430887,67,196,0.433795393,Meets Expectations
8,"Anderson, Glenn",930535,12001,93,1973-74,CA,35,1,1,0,0,0,0,84,0,0,0,0,2,0,0,0,0,0.446550518,144,244,0.53788811,Meets Expectations
9,"Andrews, Ike",933304,14001,93,1973-74,NC,4,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0.087862954,215,244,0.483736724,Below Expectations
10,"Andrews, Mark",933401,10569,93,1973-74,ND,1,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0.106469221,134,196,0.406719685,Below Expectations
